                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3449,                 3.0778,                 1.0505,                0.02183,                0.28423,                0.09311,                 0.0639,                 1.1571,                 2.9235,                0.94222,             0.00023416,             0.00023416,             0.00023416
                      2,                 1.1723,                 1.6211,                0.98523,                0.79735,                0.18886,                0.20232,                0.12078,                 1.0845,                 1.6056,                0.97192,             0.00046281,             0.00046281,             0.00046281
                      3,                 1.1433,                 1.4311,                 0.9889,                0.80966,                  0.242,                0.23945,                0.14661,                 1.0703,                 1.2308,                0.97225,             0.00068204,             0.00068204,             0.00068204
                      4,                 1.1111,                 1.3578,                 0.9738,                 0.5667,                0.31455,                0.27284,                0.15696,                 1.0664,                 1.1992,                0.98544,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.0992,                 1.2894,                0.97717,                0.57736,                  0.449,                 0.3249,                0.17747,                 1.0392,                 1.0666,                0.98597,             0.00067159,             0.00067159,             0.00067159
                      6,                  1.063,                 1.2223,                0.96464,                0.39073,                0.43077,                0.31266,                0.18487,                 1.0169,                 1.0637,                0.96366,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.0482,                  1.154,                0.95613,                0.38225,                0.45633,                0.31838,                0.18907,                 1.0002,                 1.0226,                0.96294,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.0373,                 1.1221,                 0.9561,                0.52238,                0.45316,                0.35544,                0.21345,                 1.0092,                  1.017,                0.96138,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.0269,                 1.0961,                0.95044,                0.53926,                0.48013,                0.35468,                0.21321,                0.98837,                 1.0231,                0.96295,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.0191,                 1.0705,                 0.9449,                0.52004,                0.43991,                0.34727,                  0.212,                0.97321,                 1.0375,                0.95858,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.0296,                 1.0651,                0.94856,                0.48387,                0.52818,                0.42953,                0.27328,                0.97741,                0.96562,                0.96296,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.0032,                 1.0222,                0.93923,                0.43033,                0.56397,                0.42204,                0.27288,                0.94874,                0.91878,                0.95616,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.0116,                 1.0109,                0.94289,                 0.5041,                0.54006,                0.45015,                0.28624,                0.96229,                0.94377,                0.95145,             0.00055849,             0.00055849,             0.00055849
                     14,                0.97981,                0.98997,                0.93541,                0.47074,                0.52501,                0.44433,                0.28294,                0.97356,                 0.9081,                0.95618,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.0249,                0.99626,                0.94882,                0.64538,                0.49744,                0.52104,                0.32501,                0.96451,                0.89874,                0.94875,             0.00053022,             0.00053022,             0.00053022
                     16,                0.98379,                0.95793,                0.93952,                0.56123,                0.53722,                0.48207,                0.30538,                0.93959,                0.93451,                 0.9563,             0.00051608,             0.00051608,             0.00051608
                     17,                0.97146,                0.95799,                0.93407,                0.63421,                0.50873,                0.53767,                 0.3369,                0.92327,                0.91104,                 0.9482,             0.00050194,             0.00050194,             0.00050194
                     18,                0.94874,                0.91435,                0.93329,                 0.6647,                0.47741,                0.48845,                0.31267,                0.95054,                0.88664,                0.95574,              0.0004878,              0.0004878,              0.0004878
                     19,                0.95595,                0.92156,                0.93055,                0.59745,                0.57477,                 0.5044,                0.32768,                0.93286,                0.89791,                0.94694,             0.00047367,             0.00047367,             0.00047367
                     20,                0.95487,                0.89368,                0.92842,                0.61345,                0.55906,                0.53429,                0.33788,                0.93217,                0.86468,                0.94642,             0.00045953,             0.00045953,             0.00045953
                     21,                0.93481,                0.89524,                0.92612,                0.55759,                0.54165,                0.53575,                0.34098,                0.93495,                0.84209,                0.94601,             0.00044539,             0.00044539,             0.00044539
                     22,                0.94715,                 0.8889,                0.93532,                0.50831,                 0.5899,                0.51577,                0.30734,                0.91357,                0.86122,                 0.9429,             0.00043126,             0.00043126,             0.00043126
                     23,                0.93147,                0.87059,                0.92488,                 0.6459,                0.52793,                0.51117,                0.32153,                0.92635,                0.85564,                 0.9441,             0.00041712,             0.00041712,             0.00041712
                     24,                0.94077,                0.88951,                0.92595,                0.59415,                0.56535,                0.49767,                0.30244,                0.94107,                0.87828,                0.94666,             0.00040298,             0.00040298,             0.00040298
                     25,                  0.932,                0.85855,                0.92115,                0.63168,                0.47188,                0.48853,                0.31131,                0.90587,                0.84075,                0.94267,             0.00038884,             0.00038884,             0.00038884
                     26,                0.91944,                  0.845,                0.92206,                0.66816,                0.46163,                 0.5353,                0.33873,                0.91121,                0.84825,                0.94572,             0.00037471,             0.00037471,             0.00037471
                     27,                0.90787,                0.81915,                0.91724,                0.61921,                  0.509,                0.48862,                0.31452,                0.93119,                0.85048,                0.94581,             0.00036057,             0.00036057,             0.00036057
                     28,                0.91352,                0.84367,                0.91973,                0.68236,                0.50712,                0.53629,                0.34493,                0.92832,                0.83956,                 0.9457,             0.00034643,             0.00034643,             0.00034643
                     29,                0.91593,                 0.8309,                0.92108,                0.61697,                0.60043,                0.52013,                0.32854,                0.90035,                 0.8332,                0.94573,              0.0003323,              0.0003323,              0.0003323
                     30,                0.91224,                0.82709,                 0.9249,                 0.6735,                0.55965,                0.52158,                0.32785,                0.90061,                0.83816,                0.93996,             0.00031816,             0.00031816,             0.00031816
                     31,                0.91573,                0.83305,                0.92152,                0.63768,                0.55928,                0.49225,                0.32528,                0.89763,                0.81982,                0.93788,             0.00030402,             0.00030402,             0.00030402
                     32,                0.88776,                0.79418,                0.91309,                0.48593,                0.64074,                 0.5166,                0.31229,                0.91306,                0.82713,                0.93802,             0.00028988,             0.00028988,             0.00028988
                     33,                0.88865,                0.79503,                0.91669,                0.65355,                0.54202,                0.54498,                 0.3312,                0.90367,                0.82087,                0.94288,             0.00027575,             0.00027575,             0.00027575
                     34,                0.87516,                0.77406,                0.90937,                0.61643,                0.57174,                0.53558,                0.33564,                0.88674,                0.81658,                0.93802,             0.00026161,             0.00026161,             0.00026161
                     35,                0.88479,                0.77761,                0.91141,                0.52982,                0.62631,                0.55031,                0.34001,                0.89677,                0.81595,                  0.939,             0.00024747,             0.00024747,             0.00024747
                     36,                0.87619,                0.78142,                0.91003,                0.53715,                0.56767,                0.51121,                0.31639,                0.90097,                0.81806,                0.94354,             0.00023334,             0.00023334,             0.00023334
                     37,                0.86974,                0.78994,                0.91583,                0.62231,                0.55227,                0.51972,                0.31999,                 0.8985,                0.81121,                0.93829,              0.0002192,              0.0002192,              0.0002192
                     38,                0.87074,                0.75272,                0.90758,                0.62023,                 0.5776,                0.52982,                  0.345,                0.89205,                 0.8037,                0.93802,             0.00020506,             0.00020506,             0.00020506
                     39,                0.86917,                0.76496,                0.90909,                0.67185,                0.54407,                0.55248,                0.36138,                0.88845,                0.78396,                0.94122,             0.00019092,             0.00019092,             0.00019092
                     40,                0.86637,                0.75376,                0.91196,                 0.6495,                0.56547,                0.52616,                0.33419,                0.87981,                0.79336,                0.93793,             0.00017679,             0.00017679,             0.00017679
                     41,                0.85339,                  0.758,                0.91297,                0.52034,                0.62679,                0.51401,                0.33065,                  0.887,                0.81303,                0.94294,             0.00016265,             0.00016265,             0.00016265
                     42,                 0.8367,                0.73973,                0.90533,                0.52116,                0.68158,                0.54258,                0.34076,                0.87483,                0.79197,                0.93655,             0.00014851,             0.00014851,             0.00014851
                     43,                 0.8227,                0.72909,                0.90369,                0.61066,                0.62271,                0.53918,                0.34027,                0.88629,                0.79846,                0.94392,             0.00013437,             0.00013437,             0.00013437
                     44,                0.82483,                0.72002,                0.90069,                0.63268,                0.60978,                0.54968,                0.33318,                0.87361,                0.78609,                0.93571,             0.00012024,             0.00012024,             0.00012024
                     45,                0.82386,                0.71252,                0.90145,                0.64837,                0.57491,                 0.5345,                0.34341,                0.87177,                0.78501,                 0.9349,              0.0001061,              0.0001061,              0.0001061
                     46,                0.81608,                0.70889,                0.90031,                0.62662,                 0.6056,                0.53393,                0.34214,                0.86368,                0.78157,                0.93355,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.80517,                0.69934,                0.89714,                0.60392,                0.65213,                 0.5313,                0.32899,                0.86008,                0.78083,                 0.9347,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.80399,                0.69504,                0.89766,                0.52246,                0.70158,                 0.5522,                0.35027,                0.86434,                0.77792,                0.93351,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.80189,                0.69364,                0.89508,                0.53094,                0.68529,                0.54921,                0.35349,                0.86323,                 0.7824,                0.93361,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.79813,                0.69052,                0.89285,                0.53803,                0.69164,                0.55168,                0.35425,                0.86096,                 0.7795,                0.93274,             3.5414e-05,             3.5414e-05,             3.5414e-05
